Amount, 2-Heap Insert, 2-Heap Pop, 5-Heap Insert, 5-Heap Pop
10, 2.49e-05, 3.2e-07, 3.5e-06, 2.5e-07
25, 4.8e-06, 2.9e-07, 2.6e-06, 3.2e-07
100, 2.67e-05, 3.9e-07, 4.6e-06, 3.1e-07
500, 9.16e-05, 3.8e-07, 6.3e-06, 2.9e-07
1000, 0.0001084, 3.8e-07, 9.7e-06, 3e-07
2500, 0.0003877, 4.3e-07, 2.24e-05, 3.4e-07
5000, 0.0008546, 4.9e-07, 5.43e-05, 3.7e-07
10000, 0.00223, 1.1e-06, 0.0003236, 5.6e-07
25000, 0.0043857, 7.2e-07, 0.0010421, 4.8e-07
50000, 0.0087457, 8.5e-07, 0.0024847, 5.6e-07
75000, 0.015809, 9.1e-07, 0.0054356, 7e-07
100000, 0.0153907, 9.8e-07, 0.0049066, 7e-07
125000, 0.0180593, 1.56e-06, 0.0066921, 1.12e-06
150000, 0.0284592, 1.66e-06, 0.0096829, 7.5e-07
200000, 0.0318141, 1.29e-06, 0.0111358, 6.2e-07
250000, 0.0349002, 1.14e-06, 0.0118878, 1.33e-06
